x,y,stra.index
215,224,1
1082,1110,1
675,714,1
382,393,1
180,189,1
632,677,1
56,61,1
812,828,1
98,101,1
217,228,1
2158,2220,1
318,334,1
457,461,1
234,248,1
465,472,1
87,94,2
123,132,2
59,62,2
14,17,2
657,702,2
83,88,2
208,227,2
42,45,2
38,42,2
148,165,2
390,429,2
97,104,2
103,107,2
284,290,2
125,125,2
674,714,2
357,385,2
218,234,2
819,868,2
146,162,2
